no,no_hex,fn
0,00,boyclap.1.png
1,01,boyjamp.1.png
2,02,boylwalk.1.png
3,03,boyrstand.1.png
4,04,boyrwalk.1.png
5,05,boysquat.1.png
6,06,boystand.1.png
7,07,girlclap.1.png
8,08,girljamp.1.png
9,09,girljoy.1.png
10,0a,girlrstand.1.png
11,0b,girlrwalk.1.png
12,0c,girlsquat.1.png
13,0d,girlstand.1.png
14,0e,bicycle.8.png
15,0f,carsmall.8.png
16,10,cartop.8.png
17,11,bus.8.png
18,12,track.8.png
19,13,ambulance.8.png
20,14,fireengine.8.png
21,15,Excavator.8.png
22,16,bulldozer.8.png
23,17,boat.0.png
24,18,ship.0.png
25,19,submarine.0.png
26,1a,copterr.a.png
27,1b,plane.a.png
28,1c,rocket.0.png
29,1d,ufo.0.png
30,1e,ichigo.f.png
31,1f,apple.0.png
32,20,omusubi.f.png
33,21,meat.0.png
34,22,danbun.f.png
35,23,turtle.0.png
36,24,cat.0.png
37,25,dog.0.png
38,26,elephant.0.png
39,27,fox.0.png
40,28,giraffe.0.png
41,29,rabbit.0.png
42,2a,horse.0.png
43,2b,lion.0.png
44,2c,penguin.0.png
45,2d,birdup.a.png
46,2e,birddown.a.png
47,2f,fish.b.png
48,30,jellyfish.b.png
49,31,urchin.b.png
50,32,sword.0.png
51,33,shield.0.png
52,34,cane.0.png
53,35,coin.0.png
54,36,jemblue.0.png
55,37,jemgreen.0.png
56,38,jempurple.0.png
57,39,jemred.0.png
58,3a,jemyellow.0.png
59,3b,key.0.png
60,3c,treasure.9.png
61,3d,treasure1.9.png
62,3e,skull.f.png
63,3f,fire.0.png
64,40,firea.0.png
65,41,fireb.0.png
66,42,clock.0.png
67,43,stopwatch.8.png
68,44,ladder.0.png
69,45,heart.0.png
70,46,house.f.png
71,47,musica.0.png
72,48,musicb.0.png
73,49,balloon.0.png
74,4a,flag.0.png
75,4b,missile.0.png
76,4c,tree.1.png
77,4d,rock.1.png
78,4e,flower.0.png
79,4f,stone.1.png
80,50,hole.1.png
81,51,fence.0.png
82,52,beam1.0.png
83,53,beam2.0.png
84,54,beam3.0.png
85,55,beam4.0.png
86,56,beam5.0.png
87,57,bomb1.0.png
88,58,bomb2.0.png
89,59,bomb3.0.png
90,5a,bomb4.0.png
91,5b,cloud.0.png
92,5c,forest.1.png
93,5d,block.0.png
94,5e,brick._.png
95,5f,desert._.png
96,60,grass._.png
97,61,sand._.png
98,62,paddies._.png
99,63,marsh._.png
100,64,poison._.png
101,65,ladderleft.0.png
102,66,laddermiddle.0.png
103,67,ladderright.0.png
104,68,carback1.8.png
105,69,carback2.8.png
106,6a,carback3.8.png
107,6b,carback4.8.png
108,6c,carlarge1.8.png
109,6d,carlarge2.8.png
110,6e,carlarge3.8.png
111,6f,carlarge4.8.png
112,70,dragon1.f.png
113,71,dragon2.f.png
114,72,dragon3.f.png
115,73,dragon4.f.png
116,74,dragonw1.f.png
117,75,dragonw2.f.png
118,76,dragonw3.f.png
119,77,dragonw4.f.png
120,78,no.0.png
121,79,tri.0.png
122,7a,yes.0.png
123,7b,ichigojam.1.png
124,7c,fork.1.png
125,7d,knife.1.png
126,7e,pancake.1.png
127,7f,saru.1.png
128,80,mark_a.f.png
129,81,mark_b.f.png
130,82,mark_c.f.png
131,83,mark_d.f.png
132,84,mark_e.f.png
133,85,mark_f.f.png
134,86,mark_g.f.png
135,87,mark_h.f.png
136,88,mark_i.f.png
137,89,mark_j.f.png
138,8a,mark_k.f.png
139,8b,mark_l.f.png
140,8c,mark_m.f.png
141,8d,mark_n.f.png
142,8e,mark_o.f.png
143,8f,mark_p.f.png
144,90,mark_q.f.png
145,91,mark_r.f.png
146,92,mark_s.f.png
147,93,mark_t.f.png
148,94,mark_u.f.png
149,95,mark_v.f.png
150,96,mark_w.f.png
151,97,mark_x.f.png
152,98,mark_y.f.png
153,99,mark_z.f.png
154,9a,mark_plus.f.png
155,9b,mark_minus.f.png
156,9c,mark_equal.f.png
157,9d,mark_period.f.png
158,9e,mark_comma.f.png
159,9f,mark_colon.f.png
160,a0,mark_number.f.png
161,a1,mark_asterisk.f.png
162,a2,mark_per.f.png
163,a3,mark_solidus.f.png
164,a4,mark_exclamation.f.png
165,a5,mark_quotation.f.png
166,a6,mark_0.f.png
167,a7,mark_1.f.png
168,a8,mark_2.f.png
169,a9,mark_3.f.png
170,aa,mark_4.f.png
171,ab,mark_5.f.png
172,ac,mark_6.f.png
173,ad,mark_7.f.png
174,ae,mark_8.f.png
175,af,mark_9.f.png
